"","Pitcher","TaggedPitchType","Team","Max Velo","Max Spin","MaxVelo_percentile","MaxVelo_ranking","MaxSpin_percentile","MaxSpin_ranking"
"316","Nelson, Ryne","High","AZ",100,100,105,1,105,1
"317","Neris, Hector","High","HOU",100,100,105,1,105,1
"318","Nola, Aaron","High","PHI",100,100,105,1,105,1
"319","Ober, Bailey","High","HOU",100,100,105,1,105,1
"320","Okert, Steven","High","MIA",100,100,105,1,105,1
"321","Paddack, Chris","High","MIN",100,100,105,1,105,1
"322","Pagan, Emilio","High","HOU",100,100,105,1,105,1
"323","Payamps, Joel","High","MIL",100,100,105,1,105,1
"324","Peralta, Freddy","High","MIL",100,100,105,1,105,1
"325","Perez, Cionel","High","BAL",100,100,105,1,105,1
"326","Perez, Martin","High","TEX",100,100,105,1,105,1
"327","Pfaadt, Brandon","High","AZ",100,100,105,1,105,1
"328","Phillips, Evan","High","LAD",100,100,105,1,105,1
"329","Poche, Colin","High","TB",100,100,105,1,105,1
"330","Pressly, Ryan","High","HOU",100,100,105,1,105,1
"331","Puk, A.J.","High","MIA",100,100,105,1,105,1
"332","Rodriguez, Grayson","High","BAL",100,100,105,1,105,1
"333","Romano, Jordan","High","TOR",100,100,105,1,105,1
"334","Ryan, Joe","High","MIN",100,100,105,1,105,1
"335","Sborz, Josh","High","TEX",100,100,105,1,105,1
"336","Scherzer, Max","High","AZ",100,100,105,1,105,1
"337","Scherzer, Max","High","HOU",100,100,105,1,105,1
"338","Scherzer, Max","High","TEX",100,100,105,1,105,1
"339","Scott, Tanner","High","MIA",100,100,105,1,105,1
"340","Sewald, Paul","High","AZ",100,100,105,1,105,1
"341","Sheehan, Emmet","High","LAD",100,100,105,1,105,1
"342","Smith-Shawver, AJ","High","ATL",100,100,105,1,105,1
"343","Smith, Will","High","TEX",100,100,105,1,105,1
"344","Soriano, George","High","MIA",100,100,105,1,105,1
"345","Soto, Gregory","High","PHI",100,100,105,1,105,1
"346","Stanek, Ryne","High","HOU",100,100,105,1,105,1
"347","Stewart, Brock","High","MIN",100,100,105,1,105,1
"348","Strahm, Matt","High","PHI",100,100,105,1,105,1
"349","Stratton, Chris","High","TEX",100,100,105,1,105,1
"350","Strider, Spencer","High","ATL",100,100,105,1,105,1
